url,category
https://github.com,Technology
https://stackoverflow.com,Technology
https://techcrunch.com,Technology
https://www.moneycontrol.com,Finance
https://economictimes.indiatimes.com,Finance
https://www.who.int,Healthcare
https://www.mayoclinic.org,Healthcare
https://www.coursera.org,Education
https://www.khanacademy.org,Education
https://www.bbc.com,News & Media
https://www.ndtv.com,News & Media
https://www.flipkart.com,E-Commerce
https://www.tripadvisor.com,Travel & Tourism
https://www.india.gov.in,Government & Legal
